               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,            0.017538,            0.010977,            0.021332,              0.8052,             0.85366,             0.91294,             0.74933,           0.0077344,           0.0026393,           0.0056176,           0.0094357,           0.0094357,           0.0094357
                  59,            0.017172,            0.011128,             0.02155,             0.79795,             0.80609,             0.88934,             0.72467,           0.0085085,           0.0026089,           0.0066056,           0.0094258,           0.0094258,           0.0094258
                  60,            0.017396,            0.011245,            0.021912,              0.8359,             0.77267,             0.89952,             0.74248,            0.006679,            0.002628,           0.0060351,           0.0094159,           0.0094159,           0.0094159
                  61,            0.017983,            0.010764,            0.021765,             0.85861,             0.83719,             0.91925,             0.75098,           0.0078751,           0.0025898,           0.0051347,            0.009406,            0.009406,            0.009406
                  62,            0.016324,            0.010814,            0.021249,             0.74944,             0.84264,             0.89284,             0.70682,           0.0083901,           0.0028572,           0.0069481,           0.0093961,           0.0093961,           0.0093961
                  63,            0.016924,            0.010865,            0.021457,             0.79167,             0.75941,             0.87539,             0.71145,           0.0086018,           0.0026881,           0.0067757,           0.0093862,           0.0093862,           0.0093862
                  64,            0.017438,            0.011053,            0.020939,             0.81046,             0.85479,              0.8956,             0.73596,           0.0082492,           0.0026038,           0.0091777,           0.0093763,           0.0093763,           0.0093763
                  65,            0.015727,             0.01082,             0.02018,             0.81817,             0.78769,             0.89211,             0.71478,           0.0085033,           0.0027022,            0.007965,           0.0093664,           0.0093664,           0.0093664
                  66,            0.017747,            0.010544,             0.02128,             0.89853,             0.81997,             0.93624,             0.77596,           0.0072399,           0.0025386,           0.0052652,           0.0093565,           0.0093565,           0.0093565
                  67,            0.016302,            0.010477,            0.019606,             0.89464,             0.81579,             0.92983,              0.7477,           0.0080106,           0.0026574,           0.0078108,           0.0093466,           0.0093466,           0.0093466
                  68,            0.016693,            0.010605,            0.020867,             0.86109,             0.83084,             0.92339,             0.76046,           0.0077534,           0.0027091,           0.0047808,           0.0093367,           0.0093367,           0.0093367
                  69,              0.0167,            0.010544,            0.019911,             0.80973,             0.81612,             0.88519,             0.73381,           0.0071905,           0.0026515,           0.0064244,           0.0093268,           0.0093268,           0.0093268
                  70,            0.017893,            0.010794,            0.020382,             0.77518,             0.86418,             0.92884,             0.76319,           0.0079824,           0.0025547,           0.0059827,           0.0093169,           0.0093169,           0.0093169
                  71,            0.016829,            0.010622,            0.020689,             0.86059,             0.84227,             0.92856,             0.77242,           0.0079109,           0.0025486,           0.0058035,            0.009307,            0.009307,            0.009307
                  72,            0.015793,            0.010515,            0.019797,              0.8619,             0.85721,             0.93682,             0.76843,             0.00712,             0.00252,           0.0044379,           0.0092971,           0.0092971,           0.0092971
                  73,            0.015876,            0.010304,            0.019029,             0.86485,             0.83337,             0.93539,             0.77055,           0.0070758,           0.0026222,           0.0047355,           0.0092872,           0.0092872,           0.0092872
                  74,            0.015016,            0.010288,            0.019654,             0.83634,              0.8479,             0.93178,             0.76977,           0.0070874,            0.002463,           0.0051402,           0.0092773,           0.0092773,           0.0092773
                  75,            0.014965,            0.010359,            0.017963,             0.88638,             0.85454,             0.93833,             0.77377,           0.0074303,           0.0025288,           0.0050613,           0.0092674,           0.0092674,           0.0092674
                  76,            0.016452,            0.010667,            0.020143,             0.84742,             0.84738,             0.93274,             0.76743,           0.0075547,           0.0025769,           0.0047481,           0.0092575,           0.0092575,           0.0092575
                  77,            0.015439,            0.010547,            0.018948,             0.91293,             0.80028,             0.93459,             0.77121,           0.0076199,            0.002471,           0.0056199,           0.0092476,           0.0092476,           0.0092476
                  78,            0.014759,            0.010388,            0.018582,             0.89368,             0.85055,             0.94819,             0.77197,           0.0071646,           0.0025547,           0.0051081,           0.0092377,           0.0092377,           0.0092377
                  79,            0.016393,            0.010448,            0.019656,             0.86808,             0.88382,             0.95237,              0.7851,           0.0073765,           0.0025546,           0.0043918,           0.0092278,           0.0092278,           0.0092278
                  80,            0.015277,            0.010222,            0.018204,             0.90483,             0.87324,             0.95168,             0.78233,           0.0072064,           0.0024767,           0.0047977,           0.0092179,           0.0092179,           0.0092179
                  81,            0.016433,            0.010262,            0.019536,             0.91383,             0.85412,             0.94983,               0.779,           0.0074936,           0.0024765,           0.0040971,            0.009208,            0.009208,            0.009208
                  82,            0.016661,            0.010176,             0.02031,             0.91468,             0.88115,             0.95378,             0.78582,           0.0074117,           0.0024923,            0.003699,           0.0091981,           0.0091981,           0.0091981
                  83,            0.016491,            0.010311,            0.019563,             0.84258,             0.88179,             0.94476,             0.78894,           0.0073286,           0.0024862,            0.004841,           0.0091882,           0.0091882,           0.0091882
                  84,            0.015975,            0.010459,            0.019636,             0.88789,             0.86165,              0.9468,             0.79299,           0.0070146,           0.0024228,           0.0055603,           0.0091783,           0.0091783,           0.0091783
                  85,            0.015122,            0.010423,            0.017968,             0.90733,             0.86998,             0.94548,             0.79045,           0.0070709,           0.0025259,           0.0044992,           0.0091684,           0.0091684,           0.0091684
                  86,            0.015165,            0.010195,            0.017599,             0.88195,             0.83263,             0.94146,             0.78708,           0.0070468,           0.0024967,           0.0055026,           0.0091585,           0.0091585,           0.0091585
                  87,            0.015472,            0.010423,            0.019877,             0.89054,             0.86953,             0.94707,             0.79404,           0.0071442,           0.0025414,           0.0039767,           0.0091486,           0.0091486,           0.0091486
                  88,             0.01663,            0.010263,             0.01915,             0.86796,             0.84909,             0.93707,             0.78148,           0.0070844,           0.0024915,           0.0050184,           0.0091387,           0.0091387,           0.0091387
                  89,             0.01683,            0.010356,            0.019283,             0.87441,             0.90174,             0.95324,             0.80201,           0.0067522,           0.0025058,           0.0045909,           0.0091288,           0.0091288,           0.0091288
                  90,            0.015643,            0.010217,            0.018249,             0.86951,              0.8839,             0.94604,             0.78129,           0.0073168,           0.0024762,            0.006262,           0.0091189,           0.0091189,           0.0091189
                  91,            0.016266,            0.010336,             0.01903,             0.86892,             0.85716,             0.94328,              0.7911,           0.0072048,           0.0024858,           0.0056341,            0.009109,            0.009109,            0.009109
                  92,            0.015665,            0.010403,            0.018779,             0.85684,             0.84063,             0.94333,             0.79136,           0.0070892,           0.0024346,           0.0051324,           0.0090991,           0.0090991,           0.0090991
                  93,            0.016475,            0.010173,            0.019402,             0.87604,             0.87928,             0.95592,             0.80616,            0.006278,           0.0024333,           0.0039606,           0.0090892,           0.0090892,           0.0090892
                  94,             0.01561,            0.010243,            0.017929,               0.918,             0.86226,             0.96108,             0.80947,           0.0066458,           0.0024281,            0.003766,           0.0090793,           0.0090793,           0.0090793
                  95,            0.014952,            0.010179,            0.017581,             0.91856,             0.86225,             0.96294,             0.81286,           0.0068763,           0.0023942,           0.0043421,           0.0090694,           0.0090694,           0.0090694
                  96,            0.015962,            0.010372,            0.018559,             0.87686,             0.88027,             0.94481,             0.80422,           0.0062154,           0.0024016,           0.0047696,           0.0090595,           0.0090595,           0.0090595
                  97,            0.014793,            0.010108,            0.018071,             0.90231,             0.87847,             0.95826,             0.80282,           0.0070539,           0.0024932,           0.0038364,           0.0090496,           0.0090496,           0.0090496
                  98,             0.01562,             0.01007,            0.018844,             0.91179,             0.87212,               0.948,             0.79344,           0.0073294,            0.002468,           0.0039315,           0.0090397,           0.0090397,           0.0090397
                  99,            0.015348,            0.010018,            0.017251,             0.90053,             0.86485,             0.95093,             0.79281,           0.0072325,           0.0024044,           0.0045765,           0.0090298,           0.0090298,           0.0090298
                 100,            0.016106,            0.010245,            0.017705,              0.9152,             0.85668,             0.95258,             0.79774,           0.0070934,           0.0024778,           0.0043679,           0.0090199,           0.0090199,           0.0090199
                 101,            0.015745,             0.01011,            0.017974,             0.87857,              0.8851,             0.95206,             0.80201,           0.0065049,           0.0024182,           0.0039575,             0.00901,             0.00901,             0.00901
                 102,            0.016079,            0.010263,            0.019234,             0.89647,             0.83559,             0.93569,             0.78621,           0.0072768,           0.0023403,           0.0053527,           0.0090001,           0.0090001,           0.0090001
                 103,            0.015476,            0.010057,            0.017634,             0.86085,             0.90656,             0.95837,             0.80142,           0.0076686,           0.0024099,           0.0038384,           0.0089902,           0.0089902,           0.0089902
                 104,            0.015612,            0.010155,            0.018161,             0.87602,             0.84651,             0.94165,             0.79649,           0.0067082,           0.0023996,           0.0069113,           0.0089803,           0.0089803,           0.0089803
                 105,            0.015359,           0.0098485,            0.017749,             0.87837,             0.88678,             0.95372,             0.80461,           0.0068536,           0.0023867,           0.0039604,           0.0089704,           0.0089704,           0.0089704
                 106,            0.016252,            0.010231,            0.018363,             0.91548,             0.85828,             0.94817,             0.78185,           0.0072522,           0.0024428,            0.005136,           0.0089605,           0.0089605,           0.0089605
                 107,            0.016939,            0.010121,            0.018924,             0.89633,             0.88285,             0.95299,             0.80038,            0.007038,           0.0023832,           0.0050779,           0.0089506,           0.0089506,           0.0089506
                 108,            0.015896,            0.010001,            0.018192,             0.90154,             0.86274,             0.95968,             0.80948,           0.0065735,           0.0024008,           0.0038693,           0.0089407,           0.0089407,           0.0089407
                 109,            0.015125,           0.0098212,            0.017617,             0.85573,             0.87173,             0.93845,             0.78895,           0.0071994,           0.0024114,           0.0045669,           0.0089308,           0.0089308,           0.0089308
                 110,            0.015672,            0.010296,            0.018415,             0.93454,             0.88842,             0.96668,             0.81945,           0.0069775,           0.0023812,           0.0034681,           0.0089209,           0.0089209,           0.0089209
                 111,             0.01527,             0.01022,            0.017645,               0.892,             0.88967,             0.95716,             0.80671,           0.0067343,           0.0024338,           0.0037578,            0.008911,            0.008911,            0.008911
                 112,            0.015045,            0.010339,            0.017266,             0.90014,             0.91629,             0.96479,             0.81527,             0.00709,           0.0023571,           0.0036893,           0.0089011,           0.0089011,           0.0089011
                 113,             0.01537,            0.010178,             0.01827,             0.90321,             0.88869,             0.96688,             0.82106,           0.0066892,           0.0023247,           0.0035842,           0.0088912,           0.0088912,           0.0088912
                 114,            0.015966,           0.0099226,            0.018253,             0.88592,             0.90358,             0.96014,             0.81141,           0.0070122,           0.0023528,           0.0034945,           0.0088813,           0.0088813,           0.0088813
                 115,            0.015531,            0.010254,            0.018098,             0.92238,             0.87635,              0.9591,             0.81462,           0.0070417,           0.0023837,           0.0039889,           0.0088714,           0.0088714,           0.0088714
                 116,            0.015197,           0.0099801,            0.016837,             0.92558,             0.88613,             0.96514,             0.81779,           0.0072479,           0.0022736,           0.0030932,           0.0088615,           0.0088615,           0.0088615
                 117,            0.015711,           0.0098811,            0.018079,             0.91218,             0.87515,             0.96169,             0.81574,           0.0069993,           0.0023412,           0.0043525,           0.0088516,           0.0088516,           0.0088516
                 118,            0.015866,            0.010184,            0.017774,             0.89336,             0.90598,             0.96208,             0.81555,           0.0070723,           0.0022848,           0.0035903,           0.0088417,           0.0088417,           0.0088417
                 119,            0.016116,           0.0097761,            0.018146,             0.89186,             0.90098,             0.95706,             0.80717,           0.0071362,           0.0023551,           0.0035785,           0.0088318,           0.0088318,           0.0088318
                 120,            0.014861,           0.0099289,            0.016746,             0.89306,             0.89005,             0.95154,             0.80343,           0.0073472,           0.0023467,           0.0036219,           0.0088219,           0.0088219,           0.0088219
                 121,            0.015266,           0.0098727,            0.017152,             0.93365,             0.87839,             0.96331,             0.80318,           0.0071295,           0.0024206,           0.0033632,            0.008812,            0.008812,            0.008812
                 122,            0.014975,            0.009781,            0.018047,             0.89051,             0.88752,             0.95689,             0.81295,           0.0071843,           0.0023614,           0.0036321,           0.0088021,           0.0088021,           0.0088021
                 123,            0.016352,            0.010104,            0.018315,              0.9305,             0.88775,               0.966,             0.81444,           0.0066374,           0.0023594,           0.0030631,           0.0087922,           0.0087922,           0.0087922
